el; la,the,1
de,of; from,2
que,that; which,3
y,and,4
a,to; at,5
en,in; on,6
un,a; an,7
ser,to be (norm),8
se,[reflexive marker],9
no,no,10
haber,to have (+Ved),11
por,by; for; through,12
con,with,13
su,his/her/their/your (-fam),14
para,for; to; in order to,15
como,like; as,16
estar,to be (location; change from norm),17
tener,to have,18
le,[3rd person] (indirect obj),19
lo,the (+ neuter),20
lo,[3rd person] (direct obj-m),21
todo,all; every,22
pero,but; yet; except,23
más,more,24
hacer,to do; make,25
o,or,26
poder,to be able to; can,27
decir,to tell; say,28
este,this (m) [esta (f)],29
ir,to go,30
otro,other; another,31
ese,that (m) [esa (f)],32
la,[3rd person] (direct obj-f),33
si,if; whether,34
me,me (obj),35
ya,already; still,36
ver,to see,37
porque,because,38
dar,to give,39
cuándo,when,40
él,he; [ellos] them (m),41
muy,very; really,42
sin,without,43
vez,time (specific occurrence),44
mucho,much; many; a lot (adv),45
saber,to know (a fact); find out,46
qué,what?; which?; how (+ adj)!,47
sobre,on top of; over; about,48
mi,my,49
alguno,some; someone (pron),50
mismo,same,51
yo,I (subj),52
también,also,53
hasta,until; up to; even (adv),54
año,year,55
dos,two,56
querer,to want; love,57
entre,between; among,58
así,like that,59
primero,first,60
desde,from; since,61
grande,large; great; big,62
eso,that (n),63
ni,not even; neither; nor,64
nos,us (obj),65
llegar,to arrive,66
pasar,to pass; spend (time),67
tiempo,time (general); weather,68
ella,she; [ellas] them (f),69
sí,yes,70
día,day,71
uno,one,72
bien,well,73
poco,little; few; a little bit (adv),74
deber,should; ought to; to owe,75
entonces,so; then,76
poner,to put (on); get (+adj),77
cosa,thing,78
tanto,so much; so many,79
hombre,man; mankind; husband,80
parecer,to seem; look like,81
nuestro,our,82
tan,such; as; too; so,83
dónde,where,84
ahora,now,85
parte,part; portion,86
después,after,87
vida,life,88
quedar,to remain; stay,89
siempre,always; forever,90
creer,to believe; think,91
hablar,to speak; talk,92
llevar,to take; carry,93
dejar,to let; leave,94
nada,nothing; (not) at all,95
cada,each; every,96
seguir,to follow; keep on,97
menos,less; fewer,98
nuevo,new,99
encontrar,to find,100
algo,something; somewhat,101
sólo,only; just,102
pues,then; well then,103
llamar,to call; name,104
venir,to come,105
pensar,to think,106
aquel,that (over there),107
momento,moment; time,108
sino,but; except; rather,109
esto,this (n),110
salir,to leave; go out,111
volver,to return; to V again,112
forma,form; shape; way,113
antes,before,114
bueno,good,115
casa,house,116
aunque,although; even though,117
mundo,world,118
tres,three,119
tal,such (a),120
mejor,best; better (adv),121
tomar,to take; drink,122
cierto,certain; sure; true,123
conocer,to know (someone or place),124
hacia,toward; towards,125
cómo,how?,126
mujer,woman; wife,127
vivir,to live,128
aquí,here,129
caso,case; occasion,130
sentir,to feel; regret,131
luego,later; afterwards,132
país,country,133
tratar,to try; treat; deal with,134
lugar,place; position,135
te,you (obj/+fam),136
persona,person,137
mayor,larger; older; main,138
último,last; final,139
propio,own; proper; typical,140
quien,who; whom,141
mirar,to look; watch,142
hora,hour; time (specific),143
ninguno,no; none; nobody (pron),144
trabajo,work; job; effort,145
casi,almost; nearly,146
punto,point; dot; period,147
durante,during; for (time),148
cualquier,any; anyone (pron),149
mano,hand,150
nunca,never; ever,151
manera,way; manner,152
cual,which; who; whom,153
mientras,while; whereas; as long as,154
contar,to tell; count,155
fin,end,156
tipo,type; kind,157
gente,people,158
además,also; as well; besides,159
solo,lonely; alone,160
empezar,to begin; start,161
ejemplo,example,162
esperar,to wait; hope (for); expect,163
hoy,today; nowadays,164
lado,side,165
hijo,son; [pl] children,166
allí,there; over there,167
éste,this one (m); [ésta (f)],168
problema,problem,169
cuenta,bill; account,170
medio,means; middle; por medio: through,171
contra,against; opposite,172
buscar,to look for,173
dentro,inside,174
largo,long,175
palabra,word,176
existir,to exist,177
niño,child; little boy,178
entrar,to enter,179
embargo,sin embargo: nevertheless,180
único,only; unique; sole,181
padre,father,182
trabajar,to work,183
pequeño,little; small; young,184
alto,tall; high,185
cambio,change,186
escribir,to write,187
cuatro,four,188
ahí,there,189
perder,to lose; miss,190
nosotros,we (subj),191
historia,history; story,192
idea,idea,193
agua,water,194
producir,to produce; cause,195
noche,night; evening,196
ciudad,city,197
modo,way; manner,198
nombre,name; noun,199
ocurrir,to happen; occur,200
familia,family,201
realidad,reality; actuality,202
entender,to understand,203
pedir,to ask for; request,204
recibir,to receive,205
obra,work; book; deed,206
importante,important,207
medio,half; middle,208
verdad,truth,209
mes,month,210
todavía,still; yet,211
razón,reason; tener razón: to be right,212
cuanto,en cuanto a: in terms of; regarding,213
bajo,under; underneath,214
recordar,to remember; remind,215
