lemma,frequency,derivatives
que,32894,que
de,32116,de
no,29897,no
ser,29246,es soy ser son era eres sea será sido somos sería eran seas siendo eras sean seré serás serán seria éramos seremos sera seres sois serlo seamos serías sos serían eramos seras seran sere seríamos
la,25875,la las
un,22707,un una unos unas
a,22313,a
lo,21599,lo los
el,18112,el
estar,17021,está estoy estás estaba están estar estamos estabas esté estuvo estará estaban estaré estuve estaría estan estábamos estés estarás estaremos estuviste estuviera estén estarán estemos estarías estuvimos estáis estuvieron estando estuvieras estarlo estabamos estaríamos estarían estuvieran estes estuviese estare estara estate estuviéramos estaria estaras estais esten
y,15960,y e
en,15303,en
tener,11043,tengo tiene tienes tenemos tener tenía tienen tuve tenido tenga tuvo tenías ten tendrá tendrás tengas tendré tendremos tenia tenían tendría tengan tuvimos tuviste tuviera teníamos tendrán teniendo tengamos tuvieron tenéis tuvieras tenerlo tendrías tenerte tenias tendríamos tenerla tuviéramos tendrían tuvieran tenés tuviese tendras teniamos tenerlos tenerme tendra
haber,10719,hay ha he has han había haber hemos hubiera habrá habría hubo habían habías hubiese haberlo haberte hubieras hayan habido habia habéis haberme hubieran habíamos haberse haberle habrán haberla hayamos habrían habrías hubiéramos habrás habríamos habernos habré habra hubieses habiendo haberlos habias hubiesen habria habian
ir,10360,vamos voy va ir vas van vaya vete iba iré ido vámonos irme irnos vayas vayan iremos irse irte irá ibas vayamos yendo irás iban váyanse íbamos iría váyase irán vamonos vais ire id iríamos irías ibamos
por,10261,por
qué,9903,qué
me,9692,me
hacer,8474,hacer hace haciendo haces hacerlo hizo hice haré hiciste hago hagas haga hacen hacemos hará haría haremos hazlo hicieron hacía hicimos harás hagan hacerte hacerle hacerme hagamos harán harías hiciera hazme hacerse hagámoslo hacían hacías hágalo hacernos hicieras hacerla hazte harían hacíamos haciéndolo hara háganlo haria hacerles hicieran hazle haras hacéis hacerlos haríamos
poder,8344,puedo puede puedes podemos podría pueden poder pueda podía podrías podríamos pudo pude pudiera puedas podrían podido podrá podrás podremos poderes podré pudiste puedan podías podria podrán pudieron pudieras podían podíamos pudimos podéis podrias pudieran pudiéramos podia pudiese podriamos
te,8094,te
se,7426,se
mi,6924,mi mis
con,6799,con
